snapshot_date,period,ticker,BEST_EPS,BEST_NET_INCOME,BEST_SALES
2026-04-29,1FY,PSSA3 BZ Equity,5.586,3631.4,38002.71428571429
2026-04-29,2FY,PSSA3 BZ Equity,6.103,3953.4,40980.14285714286
