snapshot_date,period,ticker,BEST_EPS,BEST_NET_INCOME,BEST_SALES
2026-04-29,1FY,SANB11 BZ Equity,4.491,16886.333,87333.22222222223
2026-04-29,2FY,SANB11 BZ Equity,5.09,19326.833,94499.0
